GeogEntity     ,GeogType   ,From           ,To             
quebec         ,city       ,quebec         ,quebec         
trois_rivieres ,city       ,trois_rivieres ,trois_rivieres 
drummondville  ,city       ,drummondville  ,drummondville  
montreal       ,city       ,montreal       ,montreal       
cornwall       ,city       ,cornwall       ,cornwall       
brockville     ,city       ,brockville     ,brockville     
kingston       ,city       ,kingston       ,kingston       
belleville     ,city       ,belleville     ,belleville     
oshawa         ,city       ,oshawa         ,oshawa         
toronto        ,city       ,toronto        ,toronto        
mississauga    ,city       ,mississauga    ,mississauga    
hamilton       ,city       ,hamilton       ,hamilton       
brantford      ,city       ,brantford      ,brantford      
london         ,city       ,london         ,london         
windsor        ,city       ,windsor        ,windsor        
c01            ,connection ,quebec         ,trois_rivieres 
c02            ,connection ,trois_rivieres ,quebec         
c03            ,connection ,trois_rivieres ,drummondville  
c04            ,connection ,drummondville  ,trois_rivieres 
c05            ,connection ,drummondville  ,montreal       
c06            ,connection ,montreal       ,drummondville  
c07            ,connection ,montreal       ,cornwall       
c08            ,connection ,cornwall       ,montreal       
c09            ,connection ,cornwall       ,brockville     
c10            ,connection ,brockville     ,cornwall       
c11            ,connection ,brockville     ,kingston       
c12            ,connection ,kingston       ,brockville     
c13            ,connection ,kingston       ,belleville     
c14            ,connection ,belleville     ,kingston       
c15            ,connection ,belleville     ,oshawa         
c16            ,connection ,oshawa         ,belleville     
c17            ,connection ,oshawa         ,toronto        
c18            ,connection ,toronto        ,oshawa         
c19            ,connection ,toronto        ,mississauga    
c20            ,connection ,mississauga    ,toronto        
c21            ,connection ,mississauga    ,hamilton       
c22            ,connection ,hamilton       ,mississauga    
c23            ,connection ,hamilton       ,brantford      
c24            ,connection ,brantford      ,hamilton       
c25            ,connection ,brantford      ,london         
c26            ,connection ,london         ,brantford      
c27            ,connection ,london         ,windsor
c28            ,connection ,windsor        ,london         
travel_matrix  ,collection ,               ,               
