Epi            ,Age   ,Age2  ,AgeS  ,AgeI
S              ,young ,      ,      ,
N              ,young ,      ,young ,
waning         ,young ,      ,      ,
S              ,old   ,      ,      ,
N              ,old   ,      ,old   ,
waning         ,old   ,      ,      ,
infectivity    ,young ,      ,      ,young
contact        ,young ,young ,young ,young
susceptibility ,old   ,      ,old   ,
contact        ,old   ,young ,old   ,young
contact        ,old   ,old   ,old   ,old
contact        ,young ,old   ,young ,old
susceptibility ,young ,      ,young ,
infectivity    ,old   ,      ,      ,old
I              ,young ,      ,      ,young
I              ,old   ,      ,      ,old
transmission   ,young ,young ,young ,young
transmission   ,young ,old   ,young ,old
transmission   ,old   ,young ,old   ,young
transmission   ,old   ,old   ,old   ,old
infection      ,young ,young ,young ,young
infection      ,old   ,young ,old   ,young
infection      ,young ,old   ,young ,old
infection      ,old   ,old   ,old   ,old
