_id,Date,covid19_cases_unvac,covid19_cases_partial_vac,covid19_cases_notfull_vac,covid19_cases_full_vac,covid19_cases_boost_vac,covid19_cases_vac_unknown,cases_unvac_rate_per100K,cases_partial_vac_rate_per100K,cases_notfull_vac_rate_per100K,cases_full_vac_rate_per100K,cases_boost_vac_rate_per100K,cases_unvac_rate_7ma,cases_partial_vac_rate_7ma,cases_notfull_vac_rate_7ma,cases_full_vac_rate_7ma,cases_boost_vac_rate_7ma
1,2021-08-09T00:00:00,286,53,,82,,,,,,,,,,,,
2,2021-08-10T00:00:00,229,25,,63,,,,,,,,,,,,
3,2021-08-11T00:00:00,234,32,,58,,,,,,,,,,,,
4,2021-08-12T00:00:00,360,56,,88,,,,,,,,,,,,
5,2021-08-13T00:00:00,368,57,,85,,,,,,,,,,,,
6,2021-08-14T00:00:00,408,59,,111,,,,,,,,,,,,
7,2021-08-15T00:00:00,350,67,,94,,,,,,,,,,,,
8,2021-08-16T00:00:00,353,60,,113,,,,,,,,,,,,
9,2021-08-17T00:00:00,203,49,,79,,17,,,,,,,,,,
10,2021-08-18T00:00:00,309,41,,98,,37,7.34,4.05,,1.02,,,,,,
11,2021-08-19T00:00:00,382,46,,75,,28,9.11,4.60,,0.78,,,,,,
12,2021-08-20T00:00:00,426,64,,103,,57,10.20,6.49,,1.06,,,,,,
13,2021-08-21T00:00:00,427,63,,137,,62,10.26,6.50,,1.41,,,,,,
14,2021-08-22T00:00:00,411,65,,124,,44,10.69,7.94,,1.62,,,,,,
15,2021-08-23T00:00:00,444,76,,158,,39,9.91,6.85,,1.27,,,,,,
16,2021-08-24T00:00:00,279,41,,114,,52,6.75,4.37,,1.16,,9.18,5.83,,1.19,
17,2021-08-25T00:00:00,398,74,,135,,53,9.67,7.98,,1.37,,9.51,6.39,,1.24,
18,2021-08-26T00:00:00,395,82,,141,,60,9.63,8.95,,1.43,,9.59,7.01,,1.33,
19,2021-08-27T00:00:00,485,83,,147,,66,11.86,9.16,,1.49,,9.82,7.39,,1.39,
20,2021-08-28T00:00:00,500,100,,160,,75,12.26,11.18,,1.62,,10.11,8.06,,1.42,
21,2021-08-29T00:00:00,425,64,,189,,62,10.45,7.23,,1.91,,10.08,7.96,,1.46,
22,2021-08-30T00:00:00,403,73,,167,,51,9.92,8.30,,1.68,,10.08,8.17,,1.52,
23,2021-08-31T00:00:00,326,43,,91,,65,8.05,4.93,,0.92,,10.26,8.25,,1.49,
24,2021-09-01T00:00:00,397,52,,152,,55,9.84,6.02,,1.53,,10.29,7.97,,1.51,
25,2021-09-02T00:00:00,540,88,,173,,64,13.43,10.23,,1.73,,10.83,8.15,,1.55,
26,2021-09-03T00:00:00,499,68,,179,,60,12.48,7.92,,1.79,,10.92,7.97,,1.60,
27,2021-09-04T00:00:00,559,92,,208,,85,14.05,10.75,,2.07,,11.17,7.91,,1.66,
28,2021-09-05T00:00:00,482,98,,168,,63,12.16,11.50,,1.67,,11.42,8.52,,1.63,
29,2021-09-06T00:00:00,351,64,,124,,42,8.88,7.53,,1.23,,11.27,8.41,,1.56,
30,2021-09-07T00:00:00,339,37,,130,,58,8.59,4.36,,1.29,,11.35,8.33,,1.62,
31,2021-09-08T00:00:00,319,56,,136,,44,8.12,6.62,,1.35,,11.10,8.42,,1.59,
32,2021-09-09T00:00:00,497,57,,178,,66,12.71,6.76,,1.76,,11.00,7.92,,1.59,
33,2021-09-10T00:00:00,534,76,,189,,49,13.71,9.05,,1.87,,11.17,8.08,,1.61,
34,2021-09-11T00:00:00,499,80,,211,,67,12.87,9.60,,2.08,,11.01,7.92,,1.61,
